ID,V1,V2,V3,V4,V5,V6,V7,V8
154,18450,10,13747,Petrol,97,1400,5,85
155,19500,12,13634,Petrol,110,1600,5,85
156,21750,13,13178,Petrol,110,1600,5,85
157,16868,15,13157,Petrol,97,1400,4,85
158,19500,16,13000,Petrol,110,1600,4,85
159,18900,11,12500,Petrol,110,1600,5,85
160,19750,17,11999,Petrol,110,1600,5,85
161,19750,16,11754,Petrol,110,1600,5,100
162,18950,16,11000,Petrol,110,1600,4,85
163,20750,17,10000,Petrol,110,1598,5,85
164,19600,9,7650,Petrol,110,1600,5,85
165,19500,14,6500,Petrol,110,1600,4,85
166,17650,11,6155,Petrol,97,1400,5,85
167,19950,14,6000,Petrol,110,1600,5,85
168,19950,14,5459,Petrol,110,1600,5,85
169,20950,14,5278,Petrol,110,1600,4,85
170,20500,12,5000,Petrol,110,1600,5,85
171,17795,9,1,Petrol,98,1400,4,19
172,18245,9,1,Petrol,110,1600,5,19
173,23750,8,11000,Petrol,110,1600,5,85
174,19500,8,10077,Petrol,97,1400,5,85
175,18950,8,10000,Petrol,97,1400,5,85
176,21950,8,9788,Petrol,110,1600,5,85
177,19950,8,8574,Petrol,110,1600,5,85
178,18950,8,7000,Petrol,110,1600,5,85
179,19950,7,6250,Petrol,110,1600,5,85
180,21950,8,5000,Petrol,110,1600,5,85
181,22500,6,3000,Petrol,110,1600,5,85
182,18500,7,2000,Petrol,110,1600,5,19
183,18700,7,450,Petrol,97,1400,5,85
184,21125,2,225,Petrol,97,1400,5,85
185,21500,2,15,Petrol,110,1600,5,85
186,17795,1,1,Petrol,98,1400,4,19
187,18245,1,1,Petrol,110,1600,5,19
188,6950,43,243000,Diesel,69,1900,3,185
189,9500,38,180638,Diesel,90,2000,4,210
190,11950,40,179860,Diesel,90,2000,5,210
191,7750,43,178858,CNG,110,1600,3,197
192,11950,40,161000,Diesel,69,1900,3,185
193,4350,44,158320,Diesel,69,1800,5,64
194,4750,44,131273,Diesel,69,1800,5,64
195,11750,40,130062,Diesel,69,1900,5,185
196,13250,41,123425,Diesel,69,1900,5,185
197,11950,37,118217,Petrol,110,1600,5,85
198,11900,44,110000,Diesel,69,1900,5,185
199,14750,39,108847,Diesel,90,2000,5,210
200,9950,42,105699,Petrol,97,1400,3,69
201,11950,39,98823,CNG,110,1600,5,197
202,11495,44,96829,Petrol,110,1600,5,85
203,11250,40,96518,Petrol,97,1400,3,69
204,10500,42,92204,Petrol,110,1600,5,85
205,10450,35,91456,Diesel,69,1900,3,185
206,12950,43,89968,Diesel,69,1900,5,185
207,11500,44,89757,Petrol,110,1600,3,69
208,12500,40,85389,Petrol,110,1600,5,85
209,10950,43,85017,Petrol,97,1400,5,85
210,11450,41,84312,Petrol,110,1600,5,85
211,11950,37,82743,CNG,110,1600,5,197
212,13250,41,81106,Diesel,69,1900,5,185
213,14750,40,80425,Diesel,90,2000,5,210
214,11790,34,78677,Petrol,110,1600,5,85
215,11450,40,78425,Petrol,110,1600,5,85
216,13500,33,78108,Diesel,90,2000,3,210
217,10950,33,77321,Petrol,110,1600,5,85
218,13500,33,75699,Diesel,69,1900,3,185
219,10950,41,75697,Petrol,97,1400,3,69
220,10950,44,74846,Petrol,97,1400,3,69
221,12950,38,74319,Petrol,110,1600,5,85
222,11950,43,74285,Petrol,110,1600,5,85
223,12450,44,74172,Petrol,110,1600,5,163
224,11950,40,73042,Petrol,110,1598,5,85
225,14950,44,71793,CNG,110,1600,4,197
226,12450,35,71200,Petrol,110,1600,5,85
227,12950,38,67805,Petrol,110,1600,5,85
228,11950,35,65988,Petrol,110,1600,3,69
229,11690,34,65345,Petrol,97,1400,5,85
230,12450,42,64564,Petrol,110,1600,5,85
231,12750,36,63459,Petrol,97,1400,5,85
232,11925,44,63451,Petrol,97,1400,3,69
233,12950,33,62000,Petrol,110,1600,5,19
234,11950,42,61300,Petrol,97,1400,3,69
235,12900,41,61200,Petrol,110,1600,3,69
236,11900,41,61000,Petrol,110,1600,5,85
237,11650,38,60829,Petrol,110,1600,5,85
238,10950,44,60500,Petrol,110,1600,5,85
239,13950,35,59500,Diesel,69,1900,3,64
240,13950,44,59000,Petrol,110,1600,5,85
241,11950,40,58954,Petrol,110,1600,5,85
242,10950,38,58798,Petrol,110,1600,5,85
243,12450,38,58363,Petrol,110,1600,3,85
244,11950,43,58277,Petrol,110,1600,3,69
245,13500,33,57711,Diesel,90,2000,3,210
246,11690,33,57269,Petrol,110,1600,5,85
247,13500,39,56001,Petrol,110,1600,5,85
248,11950,42,55968,Petrol,110,1600,3,69
249,12900,39,55678,Petrol,110,1600,4,69
250,13500,43,55539,Petrol,110,1600,5,85
251,11750,42,55400,Petrol,110,1600,5,85
252,11750,33,55350,Petrol,110,1600,5,85
253,10850,43,54600,Petrol,110,1600,4,69
254,11750,43,53773,Petrol,110,1600,5,85
255,14950,42,53719,Petrol,110,1600,5,85
256,9940,39,53644,Petrol,110,1600,5,19
257,12900,42,53350,Petrol,110,1600,5,85
258,13500,38,53000,Petrol,110,1600,5,85
259,11750,44,52084,Petrol,97,1400,3,69
260,11950,44,52000,Petrol,97,1400,3,69
261,13450,33,51945,Petrol,110,1600,5,85
262,11950,41,51732,Petrol,97,1400,3,69
263,12495,39,50873,Petrol,110,1600,5,85
264,13500,41,50856,Petrol,110,1600,4,69
265,12750,40,50640,Petrol,110,1600,5,85
266,12000,39,50000,Petrol,97,1400,5,85
267,11950,38,49500,Petrol,110,1600,5,85
268,12495,44,49332,Petrol,110,1600,5,85
269,12450,34,49291,Petrol,110,1600,3,69
270,14750,40,48952,Diesel,90,2000,5,210
271,10950,39,48945,Petrol,110,1600,3,69
272,13500,33,48928,Diesel,69,1900,3,185
273,12950,38,48197,Petrol,110,1600,5,85
274,13500,35,48052,Diesel,69,1900,3,185
275,13450,34,48011,Petrol,110,1600,4,69
276,13500,43,48000,Petrol,110,1600,5,85
277,11480,41,47350,Petrol,110,1600,5,85
278,13450,39,46821,Petrol,97,1400,5,85
279,11495,39,46694,Petrol,110,1600,3,69
280,12750,43,46515,Petrol,97,1400,5,69
281,14990,38,46327,Petrol,110,1600,3,85
282,12950,35,46304,Petrol,97,1400,5,85
283,12950,40,45886,Petrol,110,1600,5,85
284,12850,39,45713,Petrol,97,1400,5,19
285,13950,40,45600,Petrol,110,1600,5,85
286,11950,41,45287,Petrol,110,1600,5,85
287,12950,39,45081,Petrol,110,1600,5,85
288,11700,40,44830,Petrol,110,1600,5,85
289,9950,37,44757,Petrol,97,1400,3,69
290,11895,44,44218,Petrol,97,1400,5,85
291,12950,43,43632,Petrol,110,1600,5,85
292,12500,36,43427,Petrol,110,1600,3,69
293,13875,39,43254,Petrol,110,1600,5,85
294,10500,35,43000,Petrol,110,1600,3,69
295,12295,33,42823,Petrol,110,1600,5,85
296,13950,42,42560,Petrol,110,1600,5,85
297,10950,38,41754,Petrol,110,1600,3,69
298,12950,44,41499,CNG,110,1600,5,197
299,12850,40,41339,Petrol,110,1600,5,85
300,13995,35,41000,Petrol,110,1600,5,85
301,13750,39,40000,Petrol,110,1600,3,85
302,12750,37,39757,Petrol,110,1600,5,85
303,12500,41,39659,Petrol,110,1600,3,69
304,13950,43,39650,Petrol,110,1600,3,85
305,11500,39,39524,Petrol,97,1398,3,69
306,13950,44,39516,Petrol,97,1400,5,85
307,11895,41,39439,Petrol,97,1400,5,85
308,9950,44,39000,Petrol,97,1400,3,69
309,13500,42,38932,Petrol,110,1600,3,69
310,11450,37,38812,Petrol,97,1400,3,69
311,12450,42,38665,Petrol,110,1600,5,85
312,12950,40,38653,Petrol,110,1600,5,85
313,13995,44,38461,Petrol,110,1600,5,85
314,11750,42,38078,Petrol,97,1400,3,69
315,11650,39,37782,Petrol,97,1400,5,85
316,9950,43,37576,Petrol,97,1400,3,69
317,13950,41,37533,Petrol,110,1600,5,85
318,12950,44,37389,Petrol,110,1600,5,85
319,10950,38,37320,Petrol,97,1400,3,69
320,9900,42,37000,Petrol,97,1400,3,69
321,11950,44,37000,Petrol,110,1600,4,19
322,11990,40,36566,Petrol,110,1600,5,85
323,10750,36,36269,Petrol,110,1600,5,85
324,13950,37,36074,Petrol,110,1600,5,19
325,11250,44,36066,Petrol,110,1600,3,69
326,12950,39,34599,Petrol,110,1600,5,85
327,11950,41,34000,Petrol,110,1600,5,85
328,10950,42,33623,Petrol,97,1400,3,69
329,12950,33,33591,Petrol,110,1600,5,85
330,12950,35,33258,Petrol,110,1600,5,85
331,11695,43,33113,Petrol,110,1600,5,85
332,11000,41,33000,Petrol,110,1600,5,19
333,13950,35,32941,Petrol,110,1600,5,85
334,11950,38,32781,Petrol,110,1600,5,85
335,11750,40,32532,Petrol,110,1600,3,69
336,12400,34,32431,Petrol,97,1400,5,85
337,12500,35,32000,Petrol,110,1600,3,69
339,12900,33,31000,Petrol,110,1600,5,19
340,12200,41,30989,Petrol,110,1600,3,69
341,12750,43,30742,Petrol,110,1600,3,69
342,11950,42,30190,Petrol,110,1600,5,85
343,11900,41,29716,Petrol,116,1600,5,85
344,11950,44,29716,Petrol,110,1600,3,85
345,14950,42,29640,Petrol,110,1600,3,85
346,11950,41,29056,Petrol,97,1400,5,85
347,12950,33,28715,Petrol,110,1600,5,85
348,14950,41,28571,Petrol,110,1600,5,85
349,13450,40,28362,Petrol,110,1600,3,69
350,13750,38,28150,Petrol,110,1600,5,85
351,12950,43,27301,Petrol,110,1600,3,69
352,12750,33,27240,Petrol,110,1600,5,85
353,11895,39,27170,Petrol,97,1400,5,85
354,9950,42,27141,Petrol,97,1400,5,85
355,12450,38,26262,Petrol,110,1600,5,85
356,12500,38,26000,Petrol,97,1400,5,85
357,14950,43,25228,Petrol,110,1600,3,69
358,13750,39,25062,Petrol,110,1600,5,85
359,12695,39,24723,Petrol,110,1600,4,85
360,14990,33,24650,Petrol,110,1600,3,85
361,12750,43,24553,Petrol,110,1600,5,85
362,14350,41,24475,Petrol,110,1600,5,69
363,12950,39,24444,Petrol,110,1600,3,69
364,11500,35,24011,Petrol,97,1400,3,69
365,11950,41,24000,Petrol,97,1400,3,69
366,13450,40,23616,Petrol,110,1600,5,85
367,12900,38,22865,Petrol,110,1600,5,85
368,10500,41,22780,Petrol,86,1300,5,69
369,10950,35,21904,Petrol,97,1400,3,69
370,11950,41,21651,Petrol,97,1400,3,69
371,11450,37,21500,Petrol,110,1600,5,69
372,13250,44,21027,Petrol,110,1600,5,85
373,10250,39,18500,Petrol,110,1600,4,69
374,13995,35,18000,Petrol,110,1600,5,85
375,11950,40,17051,Petrol,97,1400,5,85
376,13250,33,16512,Petrol,97,1400,5,19
377,12950,40,16325,Petrol,110,1600,5,85
378,11750,38,16000,Petrol,97,1400,5,85
379,11500,39,12000,Petrol,110,1600,5,85
380,13500,43,10000,Petrol,97,1400,5,85
381,6500,53,216000,Diesel,69,1900,3,185
382,6400,51,198167,Diesel,69,1900,4,185
383,7000,53,176000,Diesel,69,1900,3,185
384,7750,54,174139,Diesel,72,2000,4,185
385,8900,45,174000,Diesel,69,1900,5,185
386,8500,55,150000,CNG,110,1600,3,72
387,8950,54,149329,Diesel,72,2000,5,185
388,9900,51,146736,Petrol,110,1600,5,85
389,10250,53,143513,Diesel,69,1900,5,185
390,9250,48,142130,CNG,110,1600,5,197
391,7750,48,140700,Diesel,69,1900,5,64
392,9450,54,138394,Diesel,69,1900,4,185
393,7750,55,137000,Diesel,72,2000,5,185
394,8250,52,135258,Diesel,69,1900,5,185
395,9950,49,131364,Petrol,110,1600,5,85
396,4450,56,129155,Diesel,69,1800,5,64
397,9950,50,126110,Petrol,110,1600,3,85
398,9000,48,119742,Petrol,110,1600,5,85
399,9950,53,117913,Diesel,69,1900,5,64
400,12450,47,117430,Diesel,90,2000,3,210
401,10500,55,117175,Petrol,110,1600,4,69
402,10750,54,115558,Petrol,110,1600,4,69
403,8950,53,115113,Petrol,97,1400,3,69
404,10500,54,115046,Diesel,69,1900,5,185
405,5150,56,113997,Diesel,72,2000,5,64
406,10950,49,107859,Petrol,97,1400,5,85
407,9450,52,104805,Petrol,97,1400,3,69
408,9950,54,103454,Petrol,110,1600,5,85
409,10950,51,103018,Diesel,69,1900,5,185
410,11900,47,102352,Petrol,110,1600,5,85
411,9950,50,102030,Petrol,97,1400,5,85
412,11950,54,101352,Petrol,110,1600,5,85
413,7900,50,99865,Petrol,110,1600,4,69
414,10950,52,99323,Petrol,110,1600,3,85
415,8950,48,98100,Diesel,69,1900,5,185
416,11950,51,98040,Petrol,110,1600,5,85
417,10900,49,97600,Petrol,110,1600,3,69
418,9950,55,97234,Petrol,110,1600,5,85
419,9950,51,96135,Diesel,72,2000,3,185
420,10950,54,96100,Petrol,110,1600,5,85
421,8950,55,94401,Diesel,72,2000,3,185
422,8950,55,94122,Petrol,86,1300,3,69
423,10500,49,91340,Petrol,110,1600,3,85
424,8950,53,90200,Petrol,97,1400,3,69
425,9250,53,90097,Diesel,69,1900,5,185
426,11500,48,89049,Petrol,97,1400,5,85
427,9750,52,89000,Petrol,110,1600,5,85
428,9950,45,87274,Petrol,110,1600,3,69
429,11450,49,86221,Petrol,110,1600,3,69
430,12500,54,84598,Petrol,110,1600,5,19
431,10500,50,83567,Petrol,110,1600,5,85
432,12950,50,83106,Petrol,110,1600,5,85
433,12200,50,82805,Petrol,110,1600,3,69
434,10950,50,82735,Petrol,97,1400,3,69
435,10950,54,81905,Petrol,110,1600,5,19
436,11290,49,80320,Petrol,110,1600,3,85
437,10750,49,80090,Petrol,97,1400,3,69
438,10895,53,79800,Petrol,110,1600,5,85
439,11500,47,78785,CNG,110,1600,5,197
440,9750,48,78600,Petrol,110,1600,5,85
441,10250,55,77780,Petrol,110,1600,3,69
442,12500,49,77648,Petrol,110,1600,4,69
443,11950,54,77270,Petrol,110,1600,4,69
444,10750,50,76167,Petrol,97,1400,5,85
445,11450,46,75249,Petrol,110,1600,4,69
446,11950,54,75231,Petrol,110,1600,5,85
447,11750,48,75045,Petrol,110,1600,3,85
448,10950,50,74849,Petrol,110,1600,4,85
449,11950,55,74715,Petrol,110,1600,5,85
450,10995,49,74656,Diesel,69,1900,3,185
451,11450,56,74500,Petrol,97,1400,3,69
452,8900,49,74494,Petrol,110,1600,5,85
453,10500,50,73634,Petrol,110,1587,5,85
454,11750,47,73403,Petrol,110,1600,5,85
455,11450,49,73175,Petrol,97,1400,3,69
456,12000,52,73000,Petrol,110,1600,3,85
457,11950,50,72242,Petrol,110,1600,3,85
458,9850,53,72000,Petrol,97,1400,3,69
459,10950,54,71725,Petrol,110,1600,4,69
460,10950,54,71276,Petrol,110,1600,5,85
461,8695,50,70440,Diesel,69,1900,3,185
462,10990,53,70239,Petrol,110,1600,3,69
463,9500,55,69813,Petrol,97,1400,3,69
464,11950,49,69659,Petrol,86,1300,3,69
465,10750,46,69574,Petrol,97,1400,5,85
466,8750,47,69000,Diesel,69,1900,5,185
467,8750,49,68565,Petrol,110,1600,4,69
468,11450,55,68520,Diesel,72,2000,3,185
469,9950,46,68414,Petrol,97,1400,3,69
470,11950,56,66777,Petrol,110,1600,5,85
471,13950,52,66527,Petrol,110,1600,5,85
472,11250,54,66063,Petrol,110,1600,5,85
473,10900,50,65471,Petrol,97,1400,5,85
474,9750,56,65400,Petrol,97,1400,3,69
475,9950,52,65170,Petrol,97,1400,3,69
476,11950,56,65000,Petrol,110,1600,5,19
477,10450,48,64193,Petrol,110,1600,3,69
478,8950,54,64000,Petrol,97,1400,3,69
479,10250,54,63792,Petrol,110,1600,5,85
480,9930,53,63635,Petrol,110,1600,4,69
481,10500,54,63135,Petrol,110,1600,3,69
482,11950,54,63123,Petrol,110,1600,4,69
483,11500,48,63000,Diesel,69,1900,5,185
484,11500,55,63000,Petrol,110,1600,4,69
485,11450,54,62987,Petrol,110,1600,5,85
486,9900,56,62751,Petrol,110,1600,3,69
487,9500,54,62519,Petrol,97,1400,3,69
488,10500,50,62280,Petrol,97,1400,5,85
489,10750,50,61672,Petrol,110,1600,5,85
490,8950,54,61000,Diesel,69,2000,5,185
491,12000,56,61000,Petrol,110,1600,3,69
492,9940,53,60558,Petrol,110,1600,4,19
493,10950,47,60348,Petrol,110,1600,4,69
494,10750,54,60239,Petrol,110,1600,5,85
495,9799,51,59000,Petrol,97,1400,3,69
496,11750,51,58761,Petrol,97,1300,5,85
497,11950,54,58745,Petrol,110,1600,4,69
498,11250,52,58596,Petrol,110,1600,3,69
499,11750,54,58530,Petrol,110,1600,5,85
500,10950,55,58377,Petrol,110,1600,3,69
501,11250,56,58142,Petrol,110,1600,5,85
502,9950,53,57948,Petrol,97,1400,3,69
503,9700,51,57645,Petrol,110,1600,5,85
504,11950,47,57500,Petrol,110,1600,4,19
505,9900,53,57475,Petrol,110,1600,3,69
506,9990,55,56743,Petrol,110,1600,3,69
507,9475,48,56675,Petrol,97,1400,3,69
508,11500,54,55877,Petrol,110,1600,5,85
509,11950,53,55500,Petrol,110,1600,4,69
510,11500,55,54900,Petrol,97,1400,5,85
511,10500,50,54465,Petrol,110,1600,5,85
512,10900,46,53700,Petrol,97,1400,5,85
513,11700,52,53561,Petrol,97,1400,5,85
514,11900,51,53408,Petrol,110,1600,5,85
515,13950,51,53268,Petrol,110,1600,5,85
516,10950,49,53116,Petrol,97,1400,3,69
517,10500,56,52448,Petrol,97,1400,3,69
518,10750,55,52149,Petrol,97,1400,3,19
519,11950,55,52141,Petrol,110,1600,5,85
520,10000,56,52000,Petrol,97,1400,3,69
521,10495,48,50967,Petrol,97,1400,5,85
522,11450,50,50400,Petrol,110,1600,5,85
523,9400,54,50000,Petrol,97,1400,3,69
524,11950,51,50000,Petrol,86,1300,5,69
525,9650,53,49969,Petrol,110,1600,5,85
526,18950,49,49568,Petrol,110,1600,3,19
527,11450,51,49473,Petrol,110,1600,3,85
528,10250,52,49432,Petrol,110,1600,3,69
529,11450,48,49417,Petrol,110,1600,3,69
530,9950,54,49366,Petrol,97,1400,3,69
531,10500,56,48731,Petrol,110,1600,3,85
532,13750,54,48370,Petrol,110,1600,5,85
533,9950,48,48071,Petrol,97,1400,3,69
534,10250,54,47852,Petrol,110,1600,4,69
535,10850,54,47768,Petrol,110,1600,3,85
536,11895,52,47689,Petrol,110,1600,5,85
537,12950,53,47451,Petrol,110,1600,3,85
538,11950,50,47219,Petrol,110,1600,5,85
539,10750,56,47211,Petrol,110,1600,5,85
540,9550,54,46856,Petrol,97,1400,5,85
541,10950,56,46500,Petrol,86,1300,5,69
542,11750,52,46449,Petrol,110,1600,4,69
543,10950,47,46391,Petrol,110,1600,5,85
544,12450,54,46230,Petrol,110,1600,3,85
545,10500,52,46029,Petrol,110,1600,4,69
546,10900,50,46000,Petrol,97,1400,3,69
547,12950,50,45900,Petrol,110,1600,5,85
548,10950,47,45850,Petrol,97,1400,5,85
549,12500,56,45336,Petrol,110,1600,5,85
550,9950,55,44537,Petrol,97,1400,3,69
551,10750,56,43700,Petrol,86,1300,3,69
552,12500,48,43120,Petrol,97,1400,3,69
554,10450,49,41710,Petrol,110,1600,3,69
555,10750,52,41700,Petrol,97,1400,3,69
556,12950,49,41636,Petrol,110,1600,5,19
557,10995,50,41273,Petrol,97,1400,5,85
558,11950,49,40836,Petrol,110,1600,3,85
559,11250,50,40400,Petrol,97,1400,5,85
560,11950,47,40361,Petrol,110,1600,5,85
561,13750,54,40325,Petrol,86,1300,5,69
562,11000,47,40000,Petrol,110,1600,5,85
563,13500,50,39706,Petrol,110,1600,5,85
564,10950,54,39291,Petrol,110,1600,3,69
565,10750,54,39000,Petrol,97,1400,3,69
566,8950,47,38900,Petrol,97,1400,3,69
567,12950,51,38403,Petrol,110,1600,3,85
568,9750,56,37461,Petrol,97,1400,3,69
569,10900,54,37000,Petrol,97,1400,3,69
570,10995,55,36406,Petrol,110,1600,4,69
571,10750,48,36005,Petrol,97,1400,5,85
572,10950,52,36000,Petrol,110,1600,5,85
573,13000,49,36000,Petrol,110,1600,5,85
574,12950,45,36000,Petrol,110,1600,3,85
575,11500,52,35823,Petrol,110,1600,5,85
576,10950,56,35230,Petrol,97,1400,3,69
577,11710,48,35142,Petrol,110,1600,3,85
578,9980,49,34890,Petrol,97,1400,3,69
579,12250,51,34882,Petrol,110,1600,5,85
580,11500,46,34000,Petrol,110,1600,5,85
581,11950,56,33998,Petrol,110,1600,5,85
582,11500,55,33230,Petrol,110,1600,3,69
583,11900,46,33021,Petrol,110,1600,5,85
584,11930,49,31999,Petrol,97,1400,3,69
